OBJECTID,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,FID_grid_100,grid_area,grid_id,Shape_Length,Shape_Area,segArea
12067,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13024,201766.75,13023,0.016845701,1.77026E-05,201766.7031
12068,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13025,204567.5781,13024,0.011108687,6.20109E-06,70677.07813
12069,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13221,210936.3125,13220,0.002203767,1.80536E-07,2057.68335
12070,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13222,210934.7813,13221,0.015987594,1.5712E-05,179076.2969
12071,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13223,210933.25,13222,0.017211914,1.85072E-05,210933.25
12072,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13224,210931.7344,13223,0.017211914,1.85072E-05,210931.7344
12073,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13225,213859.7813,13224,0.012071701,7.80347E-06,88937.625
12074,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13422,198700.8438,13421,0.012294238,8.04607E-06,91701.70313
12075,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13423,198699.4063,13422,0.016723631,1.74344E-05,198699.3594
12076,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13424,198697.9688,13423,0.016723631,1.74344E-05,198697.9219
12077,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13425,201456.2031,13424,0.011524565,7.21719E-06,82253.23438
12078,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13622,210922.3906,13621,0.007675462,1.91928E-06,21873.70703
12079,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13623,210920.8594,13622,0.016852562,1.82596E-05,208098.3438
12080,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13624,210919.3438,13623,0.017211914,1.85072E-05,210919.3438
12081,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13625,213847.2188,13624,0.011269783,6.04044E-06,68840.09375
12082,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13823,210914.4844,13822,0.015030801,1.31823E-05,150229.3438
12083,374,453,582,129,374,5500,XBGY-32,3963135.268,550,374,0,3937990,13824,210912.9688,13823,0.017211912,1.85072E-05,210912.9219
